BTC-USD
ETH-USD
BNB-USD
ADA-USD
DOGE-USD
XRP-USD
DOT1-USD
UNI3-USD
LINK-USD
BCH-USD
LTC-USD
MATIC-USD
XLM-USD
SOL1-USD
VET-USD
ETC-USD
THETA-USD
EOS-USD
TRX-USD
FIL-USD
XMR-USD
AAVE-USD

