Date,Open,High,Low,Close,Adj Close,Volume
2021-05-14,508.9165954589844,631.5928955078125,507.3872985839844,594.556884765625,594.556884765625,1517159070
2021-05-15,594.4356079101562,610.31494140625,511.89910888671875,516.1693725585938,516.1693725585938,1073639999
2021-05-16,515.7094116210938,562.1765747070312,479.4474792480469,526.2147216796875,526.2147216796875,903490585
2021-05-17,527.2645263671875,593.0050659179688,473.2204895019531,574.2594604492188,574.2594604492188,1714951194
2021-05-18,572.218017578125,666.864990234375,565.7498779296875,632.2664794921875,632.2664794921875,2046638929
2021-05-19,629.231689453125,649.0506591796875,354.45831298828125,418.36932373046875,418.36932373046875,2596468764
2021-05-20,412.8768310546875,507.9833984375,355.43206787109375,468.81268310546875,468.81268310546875,1490116640
2021-05-21,467.5263671875,494.5484313964844,310.49053955078125,373.41851806640625,373.41851806640625,1224012357
2021-05-22,373.8030090332031,381.6282653808594,311.79974365234375,334.4806823730469,334.4806823730469,880707840
2021-05-23,335.3883972167969,351.1114196777344,210.0482940673828,295.0892333984375,295.0892333984375,1187561364
2021-05-24,294.3175964355469,397.0666198730469,289.4054870605469,385.57159423828125,385.57159423828125,1188069866
2021-05-25,386.9739990234375,403.748779296875,323.6628112792969,371.3802490234375,371.3802490234375,856641755
2021-05-26,370.8103942871094,415.0812683105469,359.4563903808594,414.9329528808594,414.9329528808594,815698595
2021-05-27,415.197998046875,415.197998046875,365.7570495605469,369.9781188964844,369.9781188964844,627234774
2021-05-28,371.6076354980469,376.5313720703125,305.076416015625,320.38116455078125,320.38116455078125,691594902
2021-05-29,319.96142578125,335.224365234375,280.9332275390625,297.8996276855469,297.8996276855469,461875865
2021-05-30,297.7504577636719,338.7670593261719,283.1867370605469,325.1484069824219,325.1484069824219,404946833
2021-05-31,324.581787109375,385.14910888671875,305.0658264160156,383.0834045410156,383.0834045410156,685229369
2021-06-01,382.4317321777344,392.7743225097656,361.5082702636719,372.8724670410156,372.8724670410156,599657382
2021-06-02,372.9090881347656,401.71075439453125,361.9332580566406,384.4026794433594,384.4026794433594,410524214
2021-06-03,384.442626953125,408.9672546386719,377.89788818359375,397.4979553222656,397.4979553222656,357572383
2021-06-04,398.5462341308594,398.5462341308594,347.6904296875,373.88262939453125,373.88262939453125,431321243
2021-06-05,373.3977966308594,391.5584411621094,347.72119140625,356.667724609375,356.667724609375,357996565
2021-06-06,356.79669189453125,368.2618713378906,354.7091064453125,365.6600341796875,365.6600341796875,204074691
2021-06-07,365.47442626953125,387.6455383300781,332.9857177734375,333.8849792480469,333.8849792480469,357944925
2021-06-08,334.9433288574219,338.9941101074219,297.53350830078125,331.01690673828125,331.01690673828125,406665178
2021-06-09,330.0097961425781,342.5543518066406,306.53778076171875,338.59674072265625,338.59674072265625,372168431
2021-06-10,339.01025390625,339.4061279296875,305.4126281738281,310.14837646484375,310.14837646484375,244954071
2021-06-11,310.2511291503906,315.07769775390625,281.0556335449219,285.0817565917969,285.0817565917969,250130334
2021-06-12,285.4381408691406,288.9529113769531,266.5094299316406,278.5140380859375,278.5140380859375,251587257
2021-06-13,278.7386779785156,317.6083679199219,267.80126953125,317.1291809082031,317.1291809082031,327631351
2021-06-14,317.0085144042969,317.9314880371094,311.9394226074219,314.6635437011719,314.6635437011719,338359136
